Autor,Objeto (é imagem)?,Objeto,Enunciado,Alternativa a,Alternativa b,Alternativa c,Alternativa d,Alternativa e,Resposta,"Resolução 
(caso discursiva)","Origem
(Fonte)",Ano,"Disciplinas 
(Separadas por vírgula)",Grau de dificuldade,Nível de Ensino,"Tags
(Separadas por vírgula)"
Mupi,,,"<p>Um carro gasta 14 litros de gasolina para fazer um percurso de 154 quilômetros. Nessas condições, para percorrer 429 quilômetros, o carro gastará, em litros, uma quantidade de gasolina igual a</p>",33,34,36,39,42,d,,Etec,2010,4,E,3,"matemática básica, regra de três"
Mupi,,,"<p>Um projeto de benfeitoria foi apresentado para as
120 famílias de uma comunidade e 65% delas
responderam “sim” ao projeto. O número de famílias
consultadas não favoráveis ao projeto é</p>",36,42,53,60,72,b,,Etec,2010,4,E,3,"matemática básica, porcentagem"
Mupi,,,"<p>A tabela apresenta a receita mensal, dos primeiros cinco
meses de 2010, de uma loja de acessórios de
informática.</p> <p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img001.jpg""/></p><p>Sabendo que a receita média mensal dessa loja, de
janeiro a maio, foi de R$ 34 400,00, e a receita do mês
de maio foi de V reais, então V corresponde a</p> ",30 000,40 000,42 000,46 000,50 000,e,,Etec,2010,4,M,3,"matemática básica, média"
Mupi,,,"<p>Para um determinado número natural n não nulo, os
valores das potências n n 2 e 5 começam com o
mesmo algarismo x. Se n é o menor natural possível,
então a soma x + n é</p> <p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img002.jpg""/></p>",5,7,8,10,14,c,,Etec,2010,4,E,3,"potência, número natural"
Mupi,,,"<p>Na figura, temos a representação de um terreno na
forma do trapézio retângulo ABCD, e parte desse
terreno é o quadrado DEFG onde será construída
uma casa. Sabendo-se que AB = 20, BC = 25,
AD = 15 e AE = 7, medidas na mesma unidade de
comprimento, então a razão da área da casa para a
área do terreno é</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img002.jpg""/></p>",1 para 25,2 para 25,3 para 23,4 para 25,1 para 5,d,,Etec,2010,4,E,3,"geometria, área, razão"
Mupi,,,"<p>A figura representa os triângulos retângulos PQR e
STR, sendo RS = 5 cm, ST = 3 cm e QT = 6 cm. A
medida do cateto PQ, em centímetros, é</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img003.jpg""/></p>","7,5","8,2","8,6",9,"9,2",a,,Etec,2010,4,E,3,"geometria, área, triângulos"
Mupi,,,"<p>Um técnico em edificações realizou um trabalho em
y dias, fazendo x horas por dia. Se trabalhasse duas
horas a mais por dia, teria terminado o serviço dois dias
antes, e se trabalhasse quatro horas a mais por dia,
teria terminado o serviço três dias antes. Os valores de
x e y são tais que</p>",y é o dobro de x.,"y é 1,5 de x.",a sua diferença é 3.,a sua soma é 9.,x é a terça parte de y.,b,,Etec,2010,4,M,3,"regra de três composta, regra de três"
Mupi,,,"<p>Uma pessoa, caminhando na pista de um parque,
percebe que existem marcas no chão mostrando as
posições medidas a partir do início da pista. A pessoa
constata que ela se encontra na posição da marca de
3 000 m, e que ela gastou 1 hora e 30 minutos para
atingir tal marca. A velocidade média da pessoa nesse
trecho, em km/h, vale</p>","1,5",2,"3,5",4,5,b,,Etec,2010,9,E,3,"Velocidade, física básica"
Mupi,,,"<p>Uma barra de alumínio de 400 g recebe 4 400 cal de
uma fonte de calor. Sabendo que a temperatura inicial
do bloco é 20°C e que o calor específico do alumínio é
0,22 cal/g · °C, podemos afirmar que a temperatura
final da barra, em graus Celsius, será</p>",10,40,50,70,90,d,,Etec,2010,9,M,3,"Termofísica, termologia, calor, temperatura"
Mupi,,,"<p>Na figura que se segue estão representadas as
únicas forças que agem no bloco homogêneo de
massa igual a 2 kg.</p> <p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img004.png""/></p><p>O valor do módulo da aceleração que o bloco adquire, em m/s2, vale</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img005.png""/></p>","1,25","2,5","3,75","4,35","5,15",a,,Etec,2010,9,E,3,"Força, aceleração, módulo"
